,year_dT,year_dP,DecFeb_dT,DecFeb_dP,MarMay_dT,MarMay_dP,JunAug_dT,JunAug_dP,SepNov_dT,SepNov_dP,year_dP_var,DecFeb_dP_var,MarMay_dP_var,JunAug_dP_var,SepNov_dP_var
cesm2_waccm_ssp585_2041,3.186859130859375,12.845838069915771,3.70458984375,29.064607620239258,3.191436767578125,22.702717781066895,2.80902099609375,-4.8218607902526855,3.0423583984375,8.761847019195557,-2.6454926003939394,0.07549804248898617,-1.3169516443950924,1.6601482713766824,-2.0295420990536273
cesm2_waccm_ssp126_2081,,,,,,,,,,,,,,,
cesm2_waccm_ssp245_2081,,,,,,,,,,,,,,,
cesm2_waccm_ssp370_2081,4.396270751953125,3.1255483627319336,4.200592041015625,21.6780424118042,3.887176513671875,11.177241802215576,5.307403564453125,-23.64146113395691,4.189910888671875,7.723939418792725,2.558476823544087,-0.7811746984402679,2.9281528430311177,7.536707231568696,3.0821812167096896
cesm2_waccm_ssp585_2081,6.20050048828125,7.125425338745117,5.972442626953125,37.30558156967163,5.735687255859375,21.81166410446167,7.302947998046875,-30.654698610305786,5.790924072265625,7.398378849029541,9.573238134935247,10.293195476955287,8.204303887790099,12.66113338911634,12.609927050325442
cesm2_waccm_fv2_ssp126_2021,,,,,,,,,,,,,,,
cesm2_waccm_fv2_ssp245_2021,,,,,,,,,,,,,,,
cesm2_waccm_fv2_ssp370_2021,,,,,,,,,,,,,,,
cesm2_waccm_fv2_ssp585_2021,,,,,,,,,,,,,,,
cesm2_waccm_fv2_ssp126_2041,,,,,,,,,,,,,,,
cesm2_waccm_fv2_ssp245_2041,,,,,,,,,,,,,,,
cesm2_waccm_fv2_ssp370_2041,,,,,,,,,,,,,,,
cesm2_waccm_fv2_ssp585_2041,,,,,,,,,,,,,,,
cesm2_waccm_fv2_ssp126_2081,,,,,,,,,,,,,,,
cesm2_waccm_fv2_ssp245_2081,,,,,,,,,,,,,,,
cesm2_waccm_fv2_ssp370_2081,,,,,,,,,,,,,,,
cesm2_waccm_fv2_ssp585_2081,,,,,,,,,,,,,,,
ciesm_ssp126_2021,,,,,,,,,,,,,,,
ciesm_ssp245_2021,,,,,,,,,,,,,,,
ciesm_ssp370_2021,,,,,,,,,,,,,,,
ciesm_ssp585_2021,,,,,,,,,,,,,,,
ciesm_ssp126_2041,,,,,,,,,,,,,,,
ciesm_ssp245_2041,,,,,,,,,,,,,,,
ciesm_ssp370_2041,,,,,,,,,,,,,,,
ciesm_ssp585_2041,,,,,,,,,,,,,,,
ciesm_ssp126_2081,,,,,,,,,,,,,,,
ciesm_ssp245_2081,,,,,,,,,,,,,,,
ciesm_ssp370_2081,,,,,,,,,,,,,,,
ciesm_ssp585_2081,,,,,,,,,,,,,,,
cmcc_cm2_hr4_ssp126_2021,,,,,,,,,,,,,,,
cmcc_cm2_hr4_ssp245_2021,,,,,,,,,,,,,,,
cmcc_cm2_hr4_ssp370_2021,,,,,,,,,,,,,,,
cmcc_cm2_hr4_ssp585_2021,,,,,,,,,,,,,,,
cmcc_cm2_hr4_ssp126_2041,,,,,,,,,,,,,,,
cmcc_cm2_hr4_ssp245_2041,,,,,,,,,,,,,,,
